Mashobra,Himachal Pradesh,India,Patiala,Punjab,178,05:00,,1
Manali,Himachal Pradesh,India,Patiala,Punjab,334,10:00,,0
Mashobra,Himachal Pradesh,India,Kalka,Himachal Pradesh,97,03:30,,1
Kalimpong,West Bengal,India,New Jalpaiguri,West Bengal,71,03:00,,1
Gangtok,Sikkim,India,New Jalpaiguri,West Bengal,122,04:30,,1
Phuntsoling,NULL,Bhutan,New Jalpaiguri,West Bengal,153,04:00,,1
Gangtok,Sikkim,India,Martam,Sikkim,30,01:30,,1
Kalimpong,West Bengal,India,Martam,Sikkim,69,03:00,,1
Siliguri,West Bengal,India,Martam,Sikkim,106,04:30,,1
Darjeeling,West Bengal,India,New Jalpaiguri,West Bengal,72,03:00,,1
Pelling,Sikkim,India,New Jalpaiguri,West Bengal,136,05:00,,1
Nagpur,Maharashtra,India,Tadoba,Maharashtra,99,02:00,,1
Pune,Maharashtra,India,Tadoba,Maharashtra,692,15:30,,0
Pelling,Sikkim,India,Martam,Sikkim,105,04:30,,1
Ahmedabad,Gujarat,India,Sasangir,Gujarat,350,08:30,,0
Dasada,Gujarat,India,Sasangir,Gujarat,350,08:00,,0
Bhuj,Gujarat,India,Sasangir,Gujarat,399,09:00,,0
Hodka,Gujarat,India,Sasangir,Gujarat,459,10:00,,0
Moti Virani,Gujarat,India,Sasangir,Gujarat,453,10:30,,0
Rajkot,Gujarat,India,Sasangir,Gujarat,169,04:30,,1
Gondal,Gujarat,India,Sasangir,Gujarat,131,03:30,,1
Keshod,Gujarat,India,Sasangir,Gujarat,71,02:00,,1
Thekkady,Kerala,India,Kochi,Kerala,161,05:00,,1
Teekoy,Kerala,India,Kochi,Kerala,95,03:00,,1
Kumarakom,Kerala,India,Kochi,Kerala,55,02:00,,1
Vazhoor,Kerala,India,Kochi,Kerala,88,03:00,,1
Kothamangalam,Kerala,India,Kochi,Kerala,65,02:30,,1
Kovalam,Kerala,India,Kochi,Kerala,224,06:00,,1
Munnar,Kerala,India,Kochi,Kerala,128,04:30,,1
Meppadi,Kerala,India,Kochi,Kerala,268,08:30,,0
Sultan Battery,Kerala,India,Kochi,Kerala,270,08:30,,0
Kozhikode,Kerala,India,Kochi,Kerala,197,06:00,,1
Thrissur,Kerala,India,Kochi,Kerala,121,04:00,,1
Palakkad,Kerala,India,Kochi,Kerala,143,04:00,,1
Neeleshwar,Kerala,India,Kochi,Kerala,341,09:30,,0
Bekal,Kerala,India,Kochi,Kerala,361,10:00,,0
Trivandrum,Kerala,India,Kochi,Kerala,215,06:00,,1
Alleppey,Kerala,India,Kochi,Kerala,76,02:00,,1
Madurai,Tamil Nadu,India,Kochi,Kerala,273,07:30,,0
Coonoor,Tamil Nadu,India,Kochi,Kerala,266,07:00,,1
Ootacamund,Tamil Nadu,India,Kochi,Kerala,280,07:30,,1
Mararikulam,Kerala,India,Kochi,Kerala,45,01:30,,1
Sultan Battery,Kerala,India,Trivandrum,Kerala,460,11:00,,0
Neeleshwar,Kerala,India,Trivandrum,Kerala,530,13:00,,0
Mararikulam,Kerala,India,Trivandrum,Kerala,170,04:30,,1
Kozhikode,Kerala,India,Trivandrum,Kerala,378,09:30,,0
Bekal,Kerala,India,Trivandrum,Kerala,550,13:30,,0
Meppadi,Kerala,India,Trivandrum,Kerala,458,11:30,,0
Madurai,Tamil Nadu,India,Trivandrum,Kerala,328,06:30,Kanyakumari,1
Kochi,Kerala,India,Trivandrum,Kerala,215,06:00,,1
Alleppey,Kerala,India,Trivandrum,Kerala,147,04:00,,1
Thrissur,Kerala,India,Trivandrum,Kerala,309,08:00,,0
Thekkady,Kerala,India,Trivandrum,Kerala,206,05:30,,1
Palakkad,Kerala,India,Trivandrum,Kerala,331,08:00,,0
Kovalam,Kerala,India,Trivandrum,Kerala,24,01:00,,1
Kothamangalam,Kerala,India,Trivandrum,Kerala,224,06:00,,1
