state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicestransport_id,costservice_id,frompax,topax,vehicles_id,fit,costnonac,costac,parkingfee,currencies_id,masters_id,obsolete,RoadTaxPerDay,MeetAndAssist,EntryAp,SpecialGst,nett,SpecialGst2,nett2,vehicle
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to Thivim railway station,6859,142,774,2019-10-01T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,696,37258,6859,1,4,40,0,0,1600,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to Thivim railway station,6877,142,774,2020-01-04T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,696,37276,6877,1,4,40,0,0,1600,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer Panjim-Quepem-Netraviali,6878,142,1182,2020-01-04T00:00:00,,,,0,0,139,,37277,6878,1,4,40,0,0,4540,0,13,,,0,0,0,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to Vasco railway station,6879,142,1209,2020-01-04T00:00:00,,,,0,0,139,,37278,6879,1,4,40,0,0,1800,0,13,,,0,0,0,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from Vasco railway station to hotel,6880,142,1210,2020-01-04T00:00:00,,,,0,0,139,,37279,6880,1,4,40,0,0,1800,0,13,,,0,0,0,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6883,142,272,2020-01-04T00:00:00,The above rates are not applicable from 23 Dec to 03 Jan,0,,,,139,146,37282,6883,1,4,40,0,0,2200,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6882,142,272,2019-12-23T00:00:00,,0,,,,139,146,37281,6882,1,4,40,0,0,3500,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from airport to hotel,6872,142,270,2020-01-04T00:00:00,"Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan - airport transfer standard car Rs 2,000/-; innova: Rs 2,500/-  ",0,,,,139,142,37271,6872,1,4,40,0,0,1800,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to airport,6873,142,271,2020-01-04T00:00:00,"Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan - airport transfer standard car Rs 2,000/-; innova: Rs 2,500/-  ",0,,,,139,144,37272,6873,1,4,40,0,0,1800,0,13,,,,0,,,0,,0,Toyota Innova
Goa,Goa,Vailankanni Auto Hires,Transfer from hotel to Margao railway station,6874,142,614,2020-01-04T00:00:00,Driver batta will be additional Rs 200 before 7am or after 7pm  The above rates are not applicable from 20 Dec to 03 Jan  ,0,0,0,0,139,588,37273,6874,1,4,40,0,0,1600,0,13,,,,0,,,0,,0,Toyota Innova
