state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2993,6919,1,35,110,0,Water Mill,13,2,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2994,6919,1,35,40,0,Water Mill,13,1,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2995,6919,1,35,220,0,Aurangabad Caves,13,2,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day city tour of Aurangabad,6919,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2996,6919,1,35,40,0,Aurangabad Caves,13,1,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day excursion to Ellora,6920,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2989,6920,1,35,550,0,Ellora caves,13,2,,0
Maharashtra,Aurangabad,JK Tours and Travels,Half-day excursion to Ellora,6920,3145,00:00.0,2019-10-01T00:00:00,,,,0,0,173,,2990,6920,1,35,40,0,Ellora caves,13,1,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Half-day tour of Orchha,7308,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,312,1189,2981,7308,1,35,250,0,Visit the various monuments,13,4,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Full day tour of Orchha,7309,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,312,1190,2982,7309,1,1,250,0,Visit to the various temples & palaces,,2,,0
Madhya Pradesh,Orchha,Colleague Tours Pvt. Ltd.,Full day tour of Orchha,7309,2136,00:00.0,2019-10-01T00:00:00,,,0,0,0,312,1190,2983,7309,1,1,30,0,Visit to the various temples & palaces,13,1,,0
Madhya Pradesh,Bhopal,Radiant Travels Pvt Ltd,Half-day excursion to Bhimbetika,7291,1340,00:00.0,2019-10-01T00:00:00,,0,,0,10,48,351,2980,7291,1,30,10,0,Bhimbetika,13,4,,0
