state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesguides_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Karnataka,Hospet,Krishna Palace,Full-day sightseeing Hampi,7076,2434,948,2019-10-01T00:00:00,,,0,0,0,156,1243,4817,7076,1,5,2000,0,,13,4,,0
Karnataka,Hospet,Krishna Palace,Full-day sightseeing Hampi,7076,2434,948,2019-10-01T00:00:00,,,0,0,0,156,1243,4818,7076,6,15,3000,0,,13,4,,0
Karnataka,Mysore,Travelzone,Half-day city tour of Mysore,6892,2664,190,2019-10-01T00:00:00,,,,,,293,,4739,6892,1,4,1800,0,,13,4,,0
Karnataka,Mysore,Travelzone,Half-day city tour of Mysore,6892,2664,190,2019-10-01T00:00:00,,,,,,293,,4740,6892,5,9,2200,0,,13,4,,0
Karnataka,Mysore,Travelzone,Half-day excursion to Somnathpur,6893,2664,1174,2019-10-01T00:00:00,,,,0,0,293,,4741,6893,1,4,2200,0,,13,4,,0
Karnataka,Mysore,Travelzone,Half-day excursion to Somnathpur,6893,2664,1174,2019-10-01T00:00:00,,,,0,0,293,,4742,6893,5,9,2800,0,,13,4,,0
Kerala,Kochi,Travelcart India Pvt Ltd,Half-day city tour of Fort Cochin,7310,2300,862,2019-10-01T00:00:00,,,0,0,0,87,1087,4955,7310,1,5,1760,0,,13,4,,0
Kerala,Kochi,Travelcart India Pvt Ltd,Half-day city tour of Fort Cochin,7310,2300,862,2019-10-01T00:00:00,,,0,0,0,87,1087,4956,7310,6,14,2200,0,,13,4,,0
Kerala,Kochi,Travelcart India Pvt Ltd,Half-day city tour of Fort Cochin,7310,2300,862,2019-10-01T00:00:00,,,0,0,0,87,1087,4957,7310,15,35,2915,0,,13,4,,0
Kerala,Kochi,Travelcart India Pvt Ltd,Evening Kathakali dance performance,7311,2300,255,2019-10-01T00:00:00,,,0,0,0,87,1088,4958,7311,1,15,700,0,,13,4,,0
Kerala,Munnar,Travelcart India Pvt Ltd,Excursion to Eravikulam National Park and the Tea Museum in Munnar,7335,2300,968,2019-10-01T00:00:00,,,0,0,0,290,1260,4961,7335,1,5,2450,0,,13,4,,0
Kerala,Munnar,Travelcart India Pvt Ltd,Excursion to Eravikulam National Park and the Tea Museum in Munnar,7335,2300,968,2019-10-01T00:00:00,,,0,0,0,290,1260,4962,7335,6,14,3150,0,,13,4,,0
Kerala,Thrissur,Travelcart India Pvt Ltd,Visit to local artisans near the Nila river,7336,2300,1175,2019-10-01T00:00:00,"For the said visits in Thrissur, guide has to come from Cochin and charges for the same will be Rs. 13,500/- + GST for 02 days in Thrissur to show local artisans near the Nila river (half day) and a visit to the Kalamandalam the next morning.",,,,,402,,4963,7336,1,15,13500,0,,13,4,,0
Kerala,Kovalam,Travelcart India Pvt Ltd,Full-day excursion to Kanyakumari and Padmanabhaupuram,7326,2300,244,2019-10-01T00:00:00,,,,0,0,233,,4959,7326,1,5,5000,0,,13,4,,0
Kerala,Kovalam,Travelcart India Pvt Ltd,Full-day excursion to Kanyakumari and Padmanabhaupuram,7326,2300,244,2019-10-01T00:00:00,,,,0,0,233,,4960,7326,6,14,5750,0,,13,4,,0
Ladakh,Leh,Rimo Expeditions,"Full-day excursion to Shey, Thiksey and Hemis",7021,199,523,2019-10-01T00:00:00,,,0,0,0,169,585,4799,7021,1,15,2750,0,,13,4,,0
Ladakh,Leh,Rimo Expeditions,Afternoon walking tour of Leh,7023,199,598,2019-10-01T00:00:00,,,,0,0,169,,4800,7023,1,15,1650,0,,13,4,,0
Ladakh,Leh,Rimo Expeditions,Half-day excursion to Shey & Tikse,7024,199,1148,2019-10-01T00:00:00,,,,0,0,169,,4801,7024,1,15,2750,0,,13,4,,0
Ladakh,Leh,Rimo Expeditions,Full-day excursion to Hemis festival,7025,199,1149,2019-10-01T00:00:00,,,,0,0,169,,4802,7025,1,15,2750,0,,13,4,,0
