state,city,organisation,roomtype,currency,currency,mealplan,mealplan,hoteltariffs_id,seasons_id,roomtypes_id,currencies_id,currencies_pt_id,cost_single,cost_single_pt,cost_single_ac,cost_single_ac_pt,cost_double,cost_double_pt,cost_double_ac,cost_double_ac_pt,nett,nett_pt,mealplans_id,mealplans_pt_id,freetransfer,extrabed,extrabed_pt,seasons_id,addressbook_id,fromdate,todate,frompax,to_pax,git,servicecharges,tac,tac_pt,taconmealplan,taconmealplan_pt,servicechargesonplan,closed,tl_discount,tl_discountabove,tl_freeabove,tl_halfdouble,extrabedcost,policyonescorts_id,dayoftheweek,extrabedpercentage,luxtax,luxtaxonpt,exptax,salestax,salestaxinclusive,default_roomtypes_id,default_ac,exptax_notapplicable,salestaxinclusive_pt,SpecialPeriod,Notes,AgentCommPerc,roomtype
Rajasthan,Barli,Fort Barli,Super Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432216,15056,66,13,13,,,5800,,,,5800,,1,0,2,,0,2000,,15056,2284,2019-05-01T00:00:00,2019-06-30T00:00:00,1,15,0,,,0,0,0,0,1,,,,0,,,127,,10,0,,,0,66,1,0,,,,,Super Deluxe Room
Rajasthan,Barli,Fort Barli,Royal Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,432217,15056,52,13,13,,,8500,,,,8500,,1,0,2,,0,2000,,15056,2284,2019-05-01T00:00:00,2019-06-30T00:00:00,1,15,0,,,0,0,0,0,1,,,,0,,,127,,10,0,,,0,66,1,0,,,,,Royal Suite
Rajasthan,Barli,Fort Barli,Super Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432218,15057,66,13,13,,,5800,,,,5800,,1,0,2,,0,2000,,15057,2284,2019-07-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,10,0,,,0,66,1,0,,,,,Super Deluxe Room
Rajasthan,Barli,Fort Barli,Royal Suite,Indian Rupee,Indian Rupee,Bed & breakfast,,432219,15057,52,13,13,,,8500,,,,8500,,1,0,2,,0,2000,,15057,2284,2019-07-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,10,0,,,0,66,1,0,,,,,Royal Suite
Goa,Goa,Casa Severina,Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432261,15077,10,13,13,,,3999,,,,3999,,1,0,2,,0,,,15077,2442,2019-04-01T00:00:00,2019-05-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,0,66,1,0,,,"no children under 12 are allowed, and no twin rooms are available",,Deluxe Room
Goa,Goa,Casa Severina,Super Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432262,15077,66,13,13,,,4699,,,,4699,,1,0,2,,0,1400,,15077,2442,2019-04-01T00:00:00,2019-05-31T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,0,66,1,0,,,"no children under 12 are allowed, and no twin rooms are available",,Super Deluxe Room
Goa,Goa,Casa Severina,Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432263,15078,10,13,13,,,3499,,,,3499,,1,0,2,,0,,,15078,2442,2019-06-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,0,66,1,0,,,"no children under 12 are allowed, and no twin rooms are available",,Deluxe Room
Goa,Goa,Casa Severina,Super Deluxe Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432264,15078,66,13,13,,,4199,,,,4199,,1,0,2,,0,1200,,15078,2442,2019-06-01T00:00:00,2019-09-30T00:00:00,1,15,0,,,,0,0,0,0,,,,0,,,127,,,0,,,0,66,1,0,,,"no children under 12 are allowed, and no twin rooms are available",,Super Deluxe Room
West Bengal,Darjeeling,The Elgin,Deluxe Room,Indian Rupee,Indian Rupee,Halfboard,,432289,15088,10,13,13,10848,,,,11136,,,,1,0,3,,0,4416,,15088,1365,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Deluxe Room
West Bengal,Darjeeling,The Elgin,Deluxe Suite,Indian Rupee,Indian Rupee,Halfboard,,432290,15088,47,13,13,12288,,,,12288,,,,1,0,3,,0,4416,,15088,1365,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Deluxe Suite
West Bengal,Darjeeling,The Elgin,Premium Room,Indian Rupee,Indian Rupee,Halfboard,,432291,15088,37,13,13,11616,,,,11904,,,,1,0,3,,0,5376,,15088,1365,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Premium Room
West Bengal,Darjeeling,The Elgin,Premium Suite,Indian Rupee,Indian Rupee,Halfboard,,432292,15088,483,13,13,13440,,,,13440,,,,1,0,3,,0,5376,,15088,1365,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Premium Suite
West Bengal,Darjeeling,The Elgin,Deluxe Room,Indian Rupee,Indian Rupee,Halfboard,,432301,15091,10,13,13,8667,,,,9651,,,,1,0,3,,0,3827,,15091,1365,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Deluxe Room
West Bengal,Darjeeling,The Elgin,Deluxe Suite,Indian Rupee,Indian Rupee,Halfboard,,432302,15091,47,13,13,10650,,,,10650,,,,1,0,3,,0,3827,,15091,1365,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Deluxe Suite
West Bengal,Darjeeling,The Elgin,Premium Room,Indian Rupee,Indian Rupee,Halfboard,,432303,15091,37,13,13,10067,,,,10317,,,,1,0,3,,0,4659,,15091,1365,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Premium Room
West Bengal,Darjeeling,The Elgin,Premium Suite,Indian Rupee,Indian Rupee,Halfboard,,432304,15091,483,13,13,11648,,,,11648,,,,1,0,3,,0,4659,,15091,1365,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,0,0,0,0,0,0,0,,,,0,40,,127,0,15.4,0,7.42,0,0,10,0,0,0,,,,Premium Suite
Sikkim,Pelling,The Elgin Mount Pandim,Deluxe Room,Indian Rupee,Indian Rupee,Halfboard,,432311,15095,10,13,13,10464,,,,10848,,,,1,0,3,,0,4416,,15095,2266,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,16,0,7.42,0,0,10,0,0,0,,,,Deluxe Room
Sikkim,Pelling,The Elgin Mount Pandim,Suite,Indian Rupee,Indian Rupee,Halfboard,,432312,15095,9,13,13,11904,,,,11904,,,,1,0,3,,0,4416,,15095,2266,2019-03-15T00:00:00,2019-06-15T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,16,0,7.42,0,0,10,0,0,0,,,,Suite
Sikkim,Pelling,The Elgin Mount Pandim,Deluxe Room,Indian Rupee,Indian Rupee,Halfboard,,432320,15099,10,13,13,9069,,,,9402,,,,1,0,3,,0,3827,,15099,2266,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,16,0,7.42,0,0,10,0,0,0,,,,Deluxe Room
Sikkim,Pelling,The Elgin Mount Pandim,Suite,Indian Rupee,Indian Rupee,Halfboard,,432321,15099,9,13,13,10317,,,,10317,,,,1,0,3,,0,3827,,15099,2266,2019-06-16T00:00:00,2019-09-14T00:00:00,1,15,0,,,0,0,0,0,0,,,,0,,,127,,16,0,7.42,0,0,10,0,0,0,,,,Suite
Uttar Pradesh,Varanasi,Hotel Ganges View,Ganga View Room,Indian Rupee,Indian Rupee,Bed & breakfast,,432324,15101,181,13,13,,,5000,,,,5000,,1,0,2,,0,1200,,15101,2104,2019-04-01T00:00:00,2019-09-30T00:00:00,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,127,0,0,0,,0,0,181,1,0,0,,,,Ganga View Room
